features,likelihoods,n_points,overlap,range_lik,e_tau,has_mean,has_range
day: mean; night: range,mean=student_t; range=beta,24,0.0,beta,2.2026019392540155,True,True
daily: range; night: mean,mean=student_t; range=beta,12,0.25,beta,5.732804686031925,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,5.494608052179332,True,True
"day: range; night: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.341731421463844,True,True
day: mean; night: range,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.0029208410686765,True,True
"daily: mean; night: mean, range",mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.991149091727522,True,True
day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.237974033295571,True,True
"night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,7.981390652383911,True,True
"night: mean, range",mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,2.7262677575817125,True,True
"night: mean, range",mean=student_t; range=beta,24,0.5,beta,2.5732403000580115,True,True
daily: range; day: mean; night: mean,mean=student_t; range=beta,12,0.0,beta,7.001053566879524,True,True
"night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.477428587828747,True,True
"night: mean, range",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,3.6245745246804,True,True
"night: mean, range",mean=student_t; range=beta_constrained,12,0.0,beta_constrained,5.602223653847274,True,True
"night: mean, range",mean=student_t; range=beta,12,0.0,beta,6.072400250084261,True,True
"night: mean, range",mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.502045883472127,True,True
day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,7.172108584229141,True,True
"night: mean, range",mean=skew_normal; range=beta,12,0.0,beta,6.688899269132683,True,True
day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,12,0.5,zero_inflated_beta,6.951818075622302,True,True
day: range; night: mean,mean=student_t; range=beta_constrained,12,0.25,beta_constrained,5.744125973466478,True,True
"night: mean, range",mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,5.777681101792081,True,True
"night: mean, range",mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,4.510731649377748,True,True
"daily: mean; night: mean, range",mean=student_t; range=beta_constrained,12,0.5,beta_constrained,2.0667203176042315,True,True
"day: mean, range",mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.514287223523384,True,True
"day: mean, range",mean=student_t; range=beta_constrained,12,0.5,beta_constrained,4.832353362445739,True,True
"night: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.551561481874822,True,True
day: range; night: mean,mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,6.05478128309048,True,True
day: range; night: mean,mean=student_t; range=beta_constrained,12,0.5,beta_constrained,5.031958506920715,True,True
day: mean; night: range,mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.458053803036082,True,True
day: range; night: mean,mean=student_t; range=beta,12,0.5,beta,4.655521104290747,True,True
"night: mean, range",mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.018440048809894,True,True
day: range; night: mean,mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.879746706539154,True,True
day: range; night: mean,mean=student_t; range=zero_inflated_beta,12,0.5,zero_inflated_beta,5.041627466052483,True,True
day: mean; night: range,mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,4.189938898417606,True,True
day: mean; night: range,mean=student_t; range=beta,12,0.0,beta,6.112683587856084,True,True
day: mean; night: range,mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,2.948485738692032,True,True
day: mean; night: range,mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,5.043750915914783,True,True
day: mean; night: range,mean=student_t; range=beta_constrained,24,0.5,beta_constrained,2.943099700100725,True,True
"night: mean, range",mean=student_t; range=beta_constrained,12,0.25,beta_constrained,4.426469579058844,True,True
"night: mean, range",mean=student_t; range=beta,12,0.5,beta,2.000065401003268,True,True
"night: mean, range",mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,5.092339673217605,True,True
day: mean; night: range,mean=student_t; range=beta_constrained,12,0.5,beta_constrained,2.0592770636512405,True,True
"night: mean, range",mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,4.138276565385851,True,True
