features,likelihoods,n_points,overlap,range_lik,e_tau,has_mean,has_range
daily: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,4.546555745338644,True,True
"daily: mean; day: mean, range",mean=student_t; range=beta,24,0.0,beta,6.776690530691795,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=beta,24,0.0,beta,6.856597501020784,True,True
daily: range; day: range; night: mean,mean=student_t; range=beta,24,0.5,beta,5.47732118166974,True,True
daily: range; night: range,range=zero_inflated_beta,12,0.25,zero_inflated_beta,4.726004416920618,False,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta,24,0.5,beta,5.862954282704673,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,6.955977634547709,True,True
"daily: mean; day: mean, range",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,6.925995131687479,True,True
"daily: mean, range; day: range",mean=skew_normal; range=zero_inflated_beta,12,0.25,zero_inflated_beta,6.119867677125691,True,True
daily: range; day: mean; night: mean,mean=skew_normal; range=beta,24,0.0,beta,2.605748756011164,True,True
"daily: mean, range",mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,6.378695838296524,True,True
"daily: mean, range",mean=skew_normal; range=beta,12,0.25,beta,6.250555012469869,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,5.867070592544314,True,True
daily: range; day: mean; night: mean,mean=student_t; range=beta,24,0.0,beta,2.753410405105808,True,True
"daily: range; night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,6.861136535589868,True,True
daily: range; day: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,5.650329735644435,True,True
"daily: mean, range; day: range",mean=skew_normal; range=beta,12,0.5,beta,5.7365758674135785,True,True
daily: range; day: range; night: range,range=beta_constrained,12,0.0,beta_constrained,7.034354482688799,False,True
"daily: mean, range",mean=student_t; range=beta_constrained,12,0.25,beta_constrained,6.167707749596784,True,True
"daily: mean, range; day: range",mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,5.4967573543719,True,True
"daily: range; night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,4.989580160829121,True,True
"daily: mean, range; day: range",mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,2.249381849011617,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,4.901814699197866,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=beta,24,0.5,beta,6.854205892417372,True,True
"daily: mean, range; day: range",mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,6.04045436975908,True,True
"daily: mean, range",mean=student_t; range=beta,12,0.25,beta,5.972300858397584,True,True
daily: mean; day: range; night: range,mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,2.6122032060388207,True,True
"daily: mean, range; day: range",mean=student_t; range=beta_constrained,12,0.5,beta_constrained,4.668061451935438,True,True
daily: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.829210589378189,True,True
"daily: range; day: mean, range",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.254829824245968,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.688166359776711,True,True
"daily: mean, range; day: mean",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,6.552908543695658,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.83091601138027,True,True
"daily: mean, range; day: mean",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.563822323989808,True,True
daily: mean; day: range; night: range,mean=student_t; range=beta_constrained,24,0.25,beta_constrained,5.2978061564571615,True,True
"daily: range; day: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.623004618880353,True,True
daily: mean; day: range; night: range,mean=student_t; range=beta,24,0.25,beta,5.023168106598922,True,True
day: range; night: range,range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.849132175682448,False,True
"daily: mean, range; night: mean",mean=student_t; range=beta,24,0.5,beta,5.372704380109916,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta,24,0.5,beta,6.075989367318479,True,True
"daily: range; day: mean, range",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,4.435454013198532,True,True
"daily: range; day: mean, range",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,4.566348154105183,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta,24,0.25,beta,5.3752302937071885,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.310158022536417,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,5.807200554825468,True,True
daily: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.301024977539975,True,True
daily: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.213969919103314,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.284721770696085,True,True
daily: range; day: range; night: mean,mean=student_t; range=beta_constrained,24,0.5,beta_constrained,3.373503232004322,True,True
daily: range; night: mean,mean=student_t; range=beta_constrained,24,0.25,beta_constrained,4.9769360541543,True,True
day: range; night: range,range=interval_inflated_beta,24,0.5,interval_inflated_beta,3.0279644776728345,False,True
day: range; night: range,range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.947486687317367,False,True
daily: range; day: mean,mean=student_t; range=beta,24,0.25,beta,4.377045045980353,True,True
"daily: mean, range",mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,5.976246106247209,True,True
"daily: mean, range; day: range",mean=skew_normal; range=zero_inflated_beta,12,0.5,zero_inflated_beta,4.391338335560145,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,3.743700424694441,True,True
"daily: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.25,zero_inflated_beta,6.219009147384173,True,True
daily: mean; day: range; night: range,mean=student_t; range=beta,24,0.5,beta,3.96209065068722,True,True
"daily: mean, range; day: range",mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,6.070341139204434,True,True
"daily: mean, range; day: range",mean=student_t; range=zero_inflated_beta,12,0.5,zero_inflated_beta,3.645231712448815,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,6.356676697811235,True,True
"daily: range; day: mean, range",mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.063501322999644,True,True
daily: mean; day: range; night: range,mean=student_t; range=beta_constrained,24,0.5,beta_constrained,3.7955168829057215,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,7.173689608126415,True,True
"daily: mean, range; night: range",mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,6.354673318289679,True,True
"daily: mean, range; night: range",mean=student_t; range=beta_constrained,12,0.25,beta_constrained,6.123272914476879,True,True
"daily: mean, range; day: range",mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.648082659745041,True,True
daily: range; day: mean,mean=skew_normal; range=beta,24,0.25,beta,4.406348536145393,True,True
"daily: range; day: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,5.469280037286008,True,True
"daily: mean, range; night: range",mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,5.797394093117331,True,True
"daily: mean, range; night: range",mean=skew_normal; range=beta,12,0.25,beta,6.420200286108791,True,True
daily: mean; day: range; night: range,mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.600137653986248,True,True
daily: range; day: range; night: range,range=zero_inflated_beta,12,0.0,zero_inflated_beta,4.50018861511401,False,True
daily: mean; night: range,mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.29147864861939,True,True
daily: range; night: mean,mean=student_t; range=beta,24,0.5,beta,5.38626513150129,True,True
daily: mean; day: range,mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.765960810975247,True,True
"daily: mean, range; night: range",mean=student_t; range=beta,12,0.25,beta,5.782086533863053,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.7717553366631495,True,True
daily: range; night: mean,mean=skew_normal; range=beta,24,0.5,beta,5.361010589459552,True,True
daily: mean; night: range,mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.538360373614458,True,True
"daily: mean, range; night: mean",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,7.077140405052108,True,True
daily: mean; day: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.581506235654118,True,True
"daily: range; day: mean, range",mean=skew_normal; range=beta,24,0.5,beta,5.911453675224903,True,True
"daily: mean, range; night: mean",mean=student_t; range=beta_constrained,24,0.5,beta_constrained,3.583640294497004,True,True
"daily: mean, range",mean=skew_normal; range=beta,12,0.5,beta,6.056503084767448,True,True
day: range; night: range,range=zero_inflated_beta,12,0.25,zero_inflated_beta,3.5991084388168684,False,True
"daily: range; night: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,3.3652822456421463,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.059013843267265,True,True
"daily: mean, range",mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,5.964058210613577,True,True
"daily: mean, range; day: mean",mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,4.615541977623873,True,True
"daily: range; night: mean, range",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,3.859216610719408,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.0425512127832026,True,True
daily: mean; day: range; night: range,mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,5.543186151858349,True,True
"daily: mean, range",mean=student_t; range=beta_constrained,12,0.5,beta_constrained,5.611512119840799,True,True
"daily: range; day: mean, range",mean=student_t; range=beta,24,0.5,beta,5.850715653992784,True,True
"daily: mean, range; night: range",mean=skew_normal; range=beta,12,0.5,beta,2.000005361031074,True,True
daily: mean; day: range; night: range,mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,4.997209241716942,True,True
"daily: mean, range; night: range",mean=skew_normal; range=zero_inflated_beta,12,0.25,zero_inflated_beta,6.264495889211763,True,True
"daily: range; night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.0953216597392084,True,True
daily: mean; day: range; night: mean,mean=student_t; range=beta_constrained,24,0.25,beta_constrained,4.16372465432326,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=beta,24,0.5,beta,6.486090105496006,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,2.0000002091493045,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,4.647535280969399,True,True
day: range; night: range,range=beta_constrained,24,0.5,beta_constrained,3.623971471869968,False,True
daily: mean; day: range; night: mean,mean=student_t; range=beta,24,0.25,beta,3.648637139346417,True,True
"daily: range; night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.290830924477194,True,True
"daily: range; day: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,5.337988684189613,True,True
daily: range; day: mean; night: range,mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,7.183572716260401,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=beta,24,0.25,beta,4.538013320250125,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,6.357918619625837,True,True
"daily: mean; night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000002179136,True,True
"daily: mean, range; night: range",mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,5.335842013576063,True,True
day: range; night: range,range=beta,24,0.5,beta,3.499069687448645,False,True
"daily: range; night: mean, range",mean=student_t; range=beta,24,0.25,beta,4.293429881273489,True,True
"daily: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.5,zero_inflated_beta,5.80397155064229,True,True
"daily: range; night: mean, range",mean=skew_normal; range=beta,24,0.25,beta,5.296841486527512,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.880705867388715,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.266736150936864,True,True
daily: mean; day: range,mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,6.221625491965789,True,True
daily: mean; day: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.149937695459033,True,True
daily: range; day: mean,mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,4.017098520613555,True,True
"daily: range; day: mean, range",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,4.611278456108193,True,True
daily: mean; day: range,mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,5.478801422795689,True,True
"daily: mean, range",mean=student_t; range=zero_inflated_beta,12,0.5,zero_inflated_beta,4.962596784661119,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.494762804868772,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.276994684284607,True,True
daily: mean; day: range; night: range,mean=student_t; range=beta,12,0.5,beta,2.0353839484428558,True,True
daily: mean; night: range,mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.414323853575059,True,True
daily: mean; day: range,mean=skew_normal; range=beta,12,0.25,beta,6.424317949959521,True,True
daily: mean; day: range,mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,6.359790089333495,True,True
daily: mean; day: range; night: range,mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.24671486332714,True,True
"daily: mean, range; day: mean",mean=student_t; range=beta,24,0.5,beta,5.850553082758901,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,2.188120486843658,True,True
daily: mean; day: range; night: range,mean=student_t; range=beta_constrained,12,0.5,beta_constrained,2.075664638382833,True,True
daily: mean; day: range,mean=student_t; range=beta_constrained,12,0.25,beta_constrained,5.829843913571228,True,True
"daily: range; day: mean, range",mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,4.208470479288748,True,True
daily: mean; night: range,mean=skew_normal; range=beta,12,0.0,beta,6.363163132820102,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,6.287229330478547,True,True
"daily: range; day: mean, range",mean=student_t; range=beta_constrained,24,0.5,beta_constrained,4.882772133802868,True,True
"daily: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,6.523300304125883,True,True
"daily: mean, range; night: range",mean=student_t; range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.0003376621936075,True,True
daily: mean; day: range,mean=student_t; range=beta,12,0.25,beta,5.925467902468808,True,True
daily: mean; night: range,mean=student_t; range=beta,24,0.25,beta,6.061996905933045,True,True
"daily: mean, range; night: range",mean=skew_normal; range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.4552209579799587,True,True
"daily: mean; night: mean, range",mean=student_t; range=beta,24,0.0,beta,2.5433957332156254,True,True
daily: range; day: mean,mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,4.318723965608124,True,True
daily: range; day: mean; night: mean,mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,2.3066930771039584,True,True
daily: mean; night: range,mean=skew_normal; range=beta,24,0.5,beta,5.147902355698342,True,True
daily: mean; night: range,mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.407660502490275,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=beta,24,0.0,beta,4.000015488661734,True,True
daily: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,4.428578033266911,True,True
daily: mean; night: range,mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.525969275256637,True,True
daily: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,5.709401355389026,True,True
daily: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,6.333393341907298,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta,12,0.25,beta,6.424006178505634,True,True
daily: mean; day: range,mean=skew_normal; range=zero_inflated_beta,12,0.25,zero_inflated_beta,6.533967878465994,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,6.832321138921039,True,True
"daily: mean; night: mean, range",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.207077637894923,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,6.412208186694562,True,True
daily: range; day: mean; night: mean,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.1265938085625318,True,True
"daily: mean; night: mean, range",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.003154136758106,True,True
day: range; night: range,range=beta,24,0.25,beta,4.630471096060365,False,True
day: range; night: range,range=beta_constrained,24,0.25,beta_constrained,5.945892109253385,False,True
daily: mean; night: range,mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,6.299393283896992,True,True
"daily: range; night: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.808367758452901,True,True
daily: mean; day: range; night: range,mean=student_t; range=beta,12,0.25,beta,5.1107747977448135,True,True
daily: mean; night: range,mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.606419560832894,True,True
daily: mean; night: range,mean=student_t; range=beta_constrained,24,0.25,beta_constrained,5.535434130148413,True,True
day: range; night: range,range=interval_inflated_beta,24,0.0,interval_inflated_beta,2.946504908141156,False,True
daily: mean; day: range; night: range,mean=skew_normal; range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.001517799664096,True,True
daily: mean; day: range; night: range,mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.948604075911594,True,True
daily: mean; night: range,mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,5.397360738616499,True,True
daily: mean; night: range,mean=skew_normal; range=beta,24,0.25,beta,5.802519228655847,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,3.472348319228716,True,True
daily: range; day: mean; night: range,mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.840490896695368,True,True
daily: mean; day: range,mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,6.232063865219297,True,True
daily: mean; day: range,mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,5.590908095279451,True,True
daily: range; day: mean; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.775405026472403,True,True
daily: mean; night: range,mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,4.691681622666455,True,True
"daily: range; night: mean, range",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.510209529870304,True,True
daily: mean; day: range,mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.806438545195814,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,2.103527309825963,True,True
daily: mean; night: range,mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,4.296088636106669,True,True
"daily: range; night: mean, range",mean=skew_normal; range=beta,24,0.5,beta,2.98694021856534,True,True
daily: range; day: mean; night: mean,mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,4.195094812793748,True,True
"daily: range; night: mean, range",mean=student_t; range=beta,24,0.5,beta,2.247235775121056,True,True
"daily: mean; day: mean, range",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.728581030829771,True,True
daily: range; day: mean; night: mean,mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.201428347384918,True,True
daily: mean; day: range,mean=skew_normal; range=beta,12,0.0,beta,6.319709886184639,True,True
daily: range; day: mean; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,4.818465537302755,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.869932899902045,True,True
daily: mean; day: range,mean=student_t; range=zero_inflated_beta,12,0.5,zero_inflated_beta,5.482020908912604,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=zero_inflated_beta,12,0.25,zero_inflated_beta,5.913365310910452,True,True
daily: mean; day: range,mean=student_t; range=beta_constrained,12,0.0,beta_constrained,6.045969731070343,True,True
day: range; night: range,range=interval_inflated_beta,12,0.0,interval_inflated_beta,5.790795187922455,False,True
daily: range; day: mean,mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.008201061065076,True,True
daily: mean; day: range; night: range,mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,4.238598324516924,True,True
daily: mean; night: range,mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,7.300161315144198,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.5271560444967145,True,True
daily: mean; day: mean; night: range,mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.286988593318535,True,True
"daily: mean, range; night: mean",mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.000499104597333,True,True
day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.582532320498645,True,True
"daily: mean, range; day: mean",mean=student_t; range=beta_constrained,24,0.5,beta_constrained,4.27550413761562,True,True
"daily: range; night: mean, range",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,7.403236901082024,True,True
daily: range; day: mean,mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.689907831547717,True,True
day: range; night: range,range=zero_inflated_beta,24,0.5,zero_inflated_beta,4.019956302276004,False,True
day: range; night: range,range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000000125451433,False,True
daily: mean; day: range,mean=student_t; range=beta,12,0.0,beta,5.371204945491858,True,True
"daily: range; night: mean, range",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,5.408854991595014,True,True
daily: mean; day: mean; night: range,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.036174909031537,True,True
"daily: mean, range; day: mean",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,7.080002180266135,True,True
daily: mean; night: range,mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,6.453258179224868,True,True
daily: range; day: mean,mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.309539680556244,True,True
daily: mean; day: range; night: range,mean=student_t; range=beta,12,0.0,beta,7.066108528141291,True,True
"daily: range; night: mean, range",mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,2.4386540942758126,True,True
"daily: range; night: mean, range",mean=student_t; range=beta_constrained,24,0.5,beta_constrained,2.0458135736306167,True,True
daily: mean; day: range; night: range,mean=student_t; range=beta_constrained,12,0.0,beta_constrained,6.513824251835494,True,True
daily: mean; day: mean; night: range,mean=student_t; range=beta,24,0.0,beta,4.452200516433172,True,True
"daily: mean; day: mean, range",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,4.287596108637685,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.9999722218623,True,True
daily: range; day: mean,mean=skew_normal; range=beta,24,0.5,beta,5.125119291020542,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.1889635660934084,True,True
"daily: mean; day: mean, range",mean=student_t; range=beta,24,0.25,beta,4.1293618440052535,True,True
daily: mean; day: mean; night: range,mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.595572754185524,True,True
daily: mean; day: mean; night: range,mean=skew_normal; range=beta,24,0.0,beta,4.261135923928551,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=beta,24,0.25,beta,4.072290720756427,True,True
day: range; night: range,range=beta,24,0.0,beta,3.34417953374122,False,True
daily: mean; day: range,mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.561533448738226,True,True
daily: mean; day: mean; night: range,mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.844324082254184,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,4.719639933741326,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.35772240832357,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta,24,0.25,beta,4.641884028494726,True,True
daily: range; day: mean; night: range,mean=student_t; range=beta,24,0.25,beta,4.287105482732722,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.1479805166392105,True,True
"daily: mean; day: mean, range",mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.1831721262912067,True,True
day: range; night: mean,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,6.591955635187342,True,True
"daily: range; night: mean, range",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,5.762897211642092,True,True
daily: mean; day: range; night: range,mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.109814302466349,True,True
daily: range; day: mean,mean=student_t; range=beta,24,0.5,beta,5.254677069674652,True,True
"daily: range; night: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,5.211270986765802,True,True
daily: range; day: mean; night: range,mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.2519284119275795,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,6.432500878126911,True,True
day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.540628137171623,True,True
daily: mean; day: mean; night: range,mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,2.039739527298802,True,True
day: range; night: range,range=zero_inflated_beta,24,0.25,zero_inflated_beta,5.349001087162358,False,True
"day: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.971206304535123,True,True
day: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.046905676236078,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.999615344294336,True,True
"daily: mean, range; day: mean",mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.000015103424647,True,True
daily: mean; day: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,4.2189232213898205,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=beta,12,0.0,beta,6.994263392604905,True,True
"daily: range; night: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.00719220402433,True,True
